generation,frame,alive_population,best_alive_fitness,average_alive_fitness,current_oldest_alive_age,genome_diversity_score,weights_file
50,60786,152,1.0,0.9585,3000,0.7261,checkpoints/chk_000050.npz
100,119330,179,1.0,0.9481,3000,0.7234,checkpoints/chk_000100.npz
150,192659,157,1.0,0.9931,3000,0.7737,checkpoints/chk_000150.npz
200,267659,199,1.0,0.94,3000,0.698,checkpoints/chk_000200.npz
250,333659,177,1.0,0.9795,3000,0.6226,checkpoints/chk_000250.npz
300,396978,181,1.0,0.9587,3000,0.7235,checkpoints/chk_000300.npz
350,461545,196,1.0,0.9332,3000,0.7,checkpoints/chk_000350.npz
400,532631,158,1.0,0.992,3000,0.6546,checkpoints/chk_000400.npz
450,590757,174,1.0,0.9518,3000,0.6867,checkpoints/chk_000450.npz
500,655569,194,1.0,0.9555,3000,0.6531,checkpoints/chk_000500.npz
550,721569,163,1.0,0.9926,3000,0.6988,checkpoints/chk_000550.npz
600,797319,199,1.0,0.9498,3000,0.7226,checkpoints/chk_000600.npz
650,872319,183,1.0,0.9747,3000,0.6777,checkpoints/chk_000650.npz
700,936559,192,1.0,0.9566,3000,0.7266,checkpoints/chk_000700.npz
750,1009514,156,1.0,0.9962,3000,0.6909,checkpoints/chk_000750.npz
800,1067763,160,1.0,0.9969,3000,0.7545,checkpoints/chk_000800.npz
850,1137018,193,1.0,0.9516,3000,0.7633,checkpoints/chk_000850.npz
900,1204735,161,1.0,0.9828,3000,0.7835,checkpoints/chk_000900.npz
950,1279735,199,1.0,0.9533,3000,0.8048,checkpoints/chk_000950.npz
1000,1353845,164,1.0,0.985,3000,0.8049,checkpoints/chk_001000.npz
1050,1408839,158,1.0,0.994,3000,0.8297,checkpoints/chk_001050.npz
1100,1483756,187,1.0,0.9623,3000,0.8545,checkpoints/chk_001100.npz
1150,1563986,200,1.0,0.9429,3000,0.8597,checkpoints/chk_001150.npz
1200,1628081,200,1.0,0.9377,3000,0.9097,checkpoints/chk_001200.npz
1250,1692400,158,1.0,0.9975,3000,0.8632,checkpoints/chk_001250.npz
1300,1765508,177,1.0,0.9741,3000,0.9102,checkpoints/chk_001300.npz
1350,1834508,174,1.0,0.9744,3000,0.8814,checkpoints/chk_001350.npz
